"Move In","In Time","Move Out","Out Time"
"1","2025-09-09 18:12","",""
"2","2025-09-09 18:12","",""
"3","2025-09-09 18:12","",""
"","","1","2025-09-09 18:12"
"4","2025-09-09 18:12","",""
"5","2025-09-09 18:12","",""
"6","2025-09-09 18:13","",""
"7","2025-09-09 18:13","",""
"8","2025-09-09 18:13","",""
"9","2025-09-09 18:13","",""
"10","2025-09-09 18:13","",""
"11","2025-09-09 18:13","",""
"","","2","2025-09-09 18:13"
"","","3","2025-09-09 18:14"
"12","2025-09-09 18:14","",""
"13","2025-09-09 18:14","",""
"14","2025-09-09 18:14","",""
"15","2025-09-09 18:15","",""
"16","2025-09-09 18:15","",""
"17","2025-09-09 18:15","",""
"18","2025-09-09 18:15","",""
"19","2025-09-09 18:16","",""
"20","2025-09-09 18:16","",""
"21","2025-09-09 18:16","",""
"22","2025-09-09 18:16","",""
"23","2025-09-09 18:17","",""
"24","2025-09-09 18:19","",""
"25","2025-09-09 18:19","",""
"26","2025-09-09 18:20","",""
"27","2025-09-09 18:20","",""
"28","2025-09-09 18:21","",""
"29","2025-09-09 18:21","",""
"30","2025-09-09 18:21","",""
"31","2025-09-09 18:21","",""
"32","2025-09-09 18:22","",""
"33","2025-09-09 18:22","",""
"","","1","2025-09-09 18:30"
"","","2","2025-09-09 18:30"
"","","1","2025-09-09 18:31"
"1","2025-09-09 18:31","",""
"","","2","2025-09-09 18:31"
"2","2025-09-09 18:31","",""
"3","2025-09-09 18:31","",""
"","","1","2025-09-09 18:36"
"","","2","2025-09-09 18:36"
"1","2025-09-09 18:36","",""
"2","2025-09-09 18:36","",""
"","","1","2025-09-09 18:36"
"3","2025-09-09 18:36","",""
"4","2025-09-09 18:36","",""
"","","1","2025-09-09 18:37"
"","","2","2025-09-09 18:37"
"1","2025-09-09 18:37","",""
"2","2025-09-09 18:37","",""
"3","2025-09-09 18:37","",""
"4","2025-09-09 18:37","",""
"5","2025-09-09 18:37","",""
"6","2025-09-09 18:37","",""
"7","2025-09-09 18:37","",""
"8","2025-09-09 18:37","",""
"9","2025-09-09 18:37","",""
"","","1","2025-09-09 18:37"
"1","2025-09-09 18:37","2","2025-09-09 18:37"
"","","1","2025-09-09 18:40"
"","","2","2025-09-09 18:40"
"","","3","2025-09-09 18:40"
"","","4","2025-09-09 18:40"
"","","1","2025-09-09 18:47"
"","","2","2025-09-09 18:47"
"","","3","2025-09-09 18:47"
"","","4","2025-09-09 18:47"
"","","5","2025-09-09 18:47"
"1","2025-09-09 18:47","",""
"1","2025-09-09 18:52","",""
"","","1","2025-09-09 18:52"
"","","1","2025-09-09 18:52"
"","","2","2025-09-09 18:52"
"","","3","2025-09-09 18:52"
"","","4","2025-09-09 18:52"
"","","5","2025-09-09 18:52"
"1","2025-09-09 18:53","",""
"2","2025-09-09 18:53","",""
"1","2025-09-09 18:53","",""
"2","2025-09-09 18:53","",""
"3","2025-09-09 18:53","",""
"4","2025-09-09 18:53","",""
"5","2025-09-09 18:53","",""
"6","2025-09-09 18:53","",""
"7","2025-09-09 18:53","",""
"8","2025-09-09 18:53","",""
"9","2025-09-09 18:53","",""
"10","2025-09-09 18:53","",""
"","","1","2025-09-09 18:55"
"1","2025-09-09 18:55","2","2025-09-09 18:55"
"","","3","2025-09-09 18:55"
"1","2025-09-09 18:58","1","2025-09-09 18:58"
"2","2025-09-09 18:58","2","2025-09-09 18:58"
"","","3","2025-09-09 18:58"
"1","2025-09-09 18:59","1","2025-09-09 18:59"
"2","2025-09-09 18:59","2","2025-09-09 18:59"
"","","3","2025-09-09 18:59"
"1","2025-09-09 18:59","1","2025-09-09 18:59"
"2","2025-09-09 18:59","2","2025-09-09 18:59"
"","","3","2025-09-09 18:59"
"1","2025-09-09 18:59","1","2025-09-09 18:59"
"2","2025-09-09 18:59","2","2025-09-09 18:59"
"3","2025-09-09 18:59","3","2025-09-09 18:59"
"4","2025-09-09 18:59","4","2025-09-09 18:59"
"5","2025-09-09 18:59","",""
"","","1","2025-09-09 18:59"
"","","2","2025-09-09 18:59"
"1","2025-09-09 19:00","3","2025-09-09 19:00"
"","","4","2025-09-09 19:00"
"1","2025-09-09 19:00","1","2025-09-09 19:00"
"1","2025-09-09 19:00","1","2025-09-09 19:00"
"1","2025-09-09 19:00","1","2025-09-09 19:00"
"1","2025-09-09 19:00","1","2025-09-09 19:00"
"2","2025-09-09 19:00","2","2025-09-09 19:00"
"","","3","2025-09-09 19:00"
"1","2025-09-09 19:06","",""
"","","1","2025-09-09 19:07"
"1","2025-09-09 19:07","",""
"2","2025-09-09 19:07","",""
"3","2025-09-09 19:07","",""
"","","2","2025-09-09 19:07"
"4","2025-09-09 19:07","",""
"5","2025-09-09 19:07","",""
"6","2025-09-09 19:07","3","2025-09-09 19:07"
"7","2025-09-09 19:07","",""
"","","1","2025-09-09 19:09"
"","","2","2025-09-09 19:09"
"","","3","2025-09-09 19:09"
"","","4","2025-09-09 19:09"
"1","2025-09-09 19:09","",""
"","","5","2025-09-09 19:09"
"2","2025-09-09 19:09","",""
"","","6","2025-09-09 19:10"
"","","7","2025-09-09 19:10"
"1","2025-09-09 19:25","",""
"2","2025-09-09 19:25","",""
"3","2025-09-09 19:25","",""
"4","2025-09-09 19:25","",""
"","","1","2025-09-09 19:26"
"5","2025-09-09 19:26","",""
"","","2","2025-09-09 19:26"
"6","2025-09-09 19:26","",""
"7","2025-09-09 19:26","",""
"1","2025-09-09 19:26","",""
"2","2025-09-09 19:26","",""
"3","2025-09-09 19:26","",""
"1","2025-09-09 19:33","",""
"2","2025-09-09 19:33","",""
"3","2025-09-09 19:33","",""
"4","2025-09-09 19:33","",""
"","","1","2025-09-09 19:34"
"5","2025-09-09 19:34","",""
"","","1","2025-09-09 19:34"
"1","2025-09-09 19:34","",""
"","","2","2025-09-09 19:34"
"1","2025-09-09 21:53","",""
"2","2025-09-09 21:53","",""
"3","2025-09-09 21:53","",""
"","","1","2025-09-09 21:53"
"","","2","2025-09-09 21:53"
"1","2025-09-09 22:00","",""
"2","2025-09-09 22:00","",""
"3","2025-09-09 22:00","",""
"4","2025-09-09 22:00","",""
"","","1","2025-09-09 22:01"
"","","2","2025-09-09 22:01"
"1","2025-09-09 22:01","",""
"2","2025-09-09 22:01","",""
"3","2025-09-09 22:01","",""
"","","1","2025-09-09 22:02"
"1","2025-09-09 22:04","",""
"1","2025-09-09 22:09","",""
"1","2025-09-09 22:10","",""
"1","2025-09-09 22:14","",""
"1","2025-09-09 22:19","",""
"1","2025-09-09 22:22","",""
"1","2025-09-09 22:22","",""
"1","2025-09-09 22:23","",""
"1","2025-09-09 22:25","",""
"1","2025-09-09 22:26","",""
"1","2025-09-09 22:30","",""
"1","2025-09-09 22:41","",""
"1","2025-09-09 22:43","",""
"1","2025-09-09 22:49","",""
"1","2025-09-09 22:58","",""
"1","2025-09-09 22:59","",""
"1","2025-09-09 23:10","",""
"2","2025-09-09 23:10","",""
"3","2025-09-09 23:10","",""
"","","1","2025-09-09 23:11"
"","","2","2025-09-09 23:11"
"1","2025-09-09 23:11","",""
"2","2025-09-09 23:12","",""
"","","1","2025-09-09 23:26"
"1","2025-09-09 23:27","",""
"2","2025-09-09 23:27","",""
"","","2","2025-09-09 23:27"
"3","2025-09-09 23:27","",""
"","","1","2025-09-09 23:28"
"1","2025-09-09 23:28","",""
"2","2025-09-09 23:28","",""
"","","2","2025-09-09 23:28"
"3","2025-09-09 23:28","",""
"","","1","2025-09-09 23:30"
"1","2025-09-09 23:30","",""
"2","2025-09-09 23:30","",""
"","","1","2025-09-10 00:04"
"1","2025-09-10 00:04","",""
"","","1","2025-09-10 00:07"
"1","2025-09-10 00:07","",""
"","","1","2025-09-10 00:14"
"1","2025-09-10 00:14","",""
"","","1","2025-09-10 00:28"
"1","2025-09-10 00:29","",""
"","","1","2025-09-10 00:38"
"","","2","2025-09-10 00:38"
"1","2025-09-10 00:38","",""
"1","2025-09-10 01:08","",""
"1","2025-09-10 09:53","",""
"1","2025-09-10 17:06","",""
"","","1","2025-09-10 17:06"
"1","2025-09-10 17:08","",""
"2","2025-09-10 17:08","",""
"3","2025-09-10 17:08","",""
"4","2025-09-10 17:08","",""
"5","2025-09-10 17:08","",""
"6","2025-09-10 17:09","",""
"1","2025-09-10 17:10","",""
"1","2025-09-10 17:13","",""
"2","2025-09-10 17:14","",""
"3","2025-09-10 17:14","",""
"4","2025-09-10 17:14","",""
"5","2025-09-10 17:14","",""
"1","2025-09-10 17:16","",""
"1","2025-09-10 17:17","",""
"2","2025-09-10 17:17","",""
"3","2025-09-10 17:18","",""
"4","2025-09-10 17:18","",""
"5","2025-09-10 17:18","",""
"6","2025-09-10 17:19","",""
"7","2025-09-10 17:19","",""
"8","2025-09-10 17:19","",""
"1","2025-09-10 17:20","",""
"","","1","2025-09-10 17:20"
"1","2025-09-10 17:52","",""
"2","2025-09-10 17:52","",""
"3","2025-09-10 17:52","",""
"4","2025-09-10 17:53","",""
"5","2025-09-10 17:53","",""
1,2025-09-10 18:38,,
,,1,2025-09-10 18:38
,,1,2025-09-10 18:38
1,2025-09-10 18:39,,
,,1,2025-09-10 18:40
,,2,2025-09-10 18:40
2,2025-09-10 18:40,,
,,3,2025-09-10 18:40
1,2025-09-10 18:40,,
2,2025-09-10 18:41,,
3,2025-09-10 18:41,,
1,2025-09-10 19:35,,
2,2025-09-10 19:36,,
3,2025-09-10 19:36,,
1,2025-09-10 19:37,,
2,2025-09-10 19:37,,
3,2025-09-10 19:37,,
,,1,2025-09-10 19:38
,,2,2025-09-10 19:38
1,2025-09-10 19:38,,
,,1,2025-09-10 19:38
1,2025-09-10 19:38,,
,,1,2025-09-10 19:38
,,2,2025-09-10 19:39
2,2025-09-10 19:39,,
,,3,2025-09-10 19:39
,,1,2025-09-10 20:00
,,2,2025-09-10 20:00
,,3,2025-09-10 20:00
1,2025-09-10 20:00,,
2,2025-09-10 20:00,,
3,2025-09-10 20:00,,
4,2025-09-10 20:01,,
1,2025-09-10 20:03,,
1,2025-09-10 20:09,,
2,2025-09-10 20:09,,
3,2025-09-10 20:09,,
1,2025-09-10 20:10,,
,,1,2025-09-10 20:10
1,2025-09-10 20:12,,
,,1,2025-09-10 20:12
1,2025-09-10 20:18,,
,,1,2025-09-10 20:18
1,2025-09-10 20:18,,
,,1,2025-09-10 20:18
,,1,2025-09-10 20:19
,,2,2025-09-10 20:19
,,3,2025-09-10 20:19
1,2025-09-10 20:19,,
2,2025-09-10 20:20,,
3,2025-09-10 20:20,,
4,2025-09-10 20:20,,
1,2025-09-10 20:21,,
,,1,2025-09-10 20:21
1,2025-09-10 20:22,,
,,1,2025-09-10 20:22
1,2025-09-11 08:46,,
2,2025-09-11 08:47,,
3,2025-09-11 08:47,,
,,1,2025-09-11 08:48
,,1,2025-09-11 08:50
,,2,2025-09-11 08:50
1,2025-09-11 08:50,,
2,2025-09-11 08:51,,
3,2025-09-11 08:51,,
4,2025-09-11 08:51,,
5,2025-09-11 08:51,,
6,2025-09-11 08:51,,
7,2025-09-11 08:52,,
8,2025-09-11 08:52,,
,,3,2025-09-11 08:52
9,2025-09-11 08:52,,
10,2025-09-11 08:52,,
11,2025-09-11 08:52,,
,,4,2025-09-11 08:52
